request_id,config_hash,invocation_count,generated_tokens_before_sample,forced_token_id,requested_forced_token_id,mask_count,masked_token_ids,entropy_before,entropy_after,entropy_target,entropy_error
phrase-de8b1d555e474b95bfc9559208a1c6f1-enabled,a9c90bdeb39922cfb0caa54346542e50ccafb5e94f0af66093a722f10c0302f3,5,4,1508,1508,151935,"[76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-enabled,a9c90bdeb39922cfb0caa54346542e50ccafb5e94f0af66093a722f10c0302f3,6,5,89,89,151935,"[76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-enabled,a9c90bdeb39922cfb0caa54346542e50ccafb5e94f0af66093a722f10c0302f3,7,6,,269,3,"[269, 76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-disabled,5e63e0c32fdcc8c56a1f6e80bb1ef1b711ed03ebbe9133d0ed722784421c242b,1,0,362,362,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-disabled,5e63e0c32fdcc8c56a1f6e80bb1ef1b711ed03ebbe9133d0ed722784421c242b,2,1,23560,23560,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-disabled,5e63e0c32fdcc8c56a1f6e80bb1ef1b711ed03ebbe9133d0ed722784421c242b,3,2,2530,2530,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-disabled,5e63e0c32fdcc8c56a1f6e80bb1ef1b711ed03ebbe9133d0ed722784421c242b,4,3,41171,41171,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-disabled,5e63e0c32fdcc8c56a1f6e80bb1ef1b711ed03ebbe9133d0ed722784421c242b,5,4,49435,49435,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-disabled,5e63e0c32fdcc8c56a1f6e80bb1ef1b711ed03ebbe9133d0ed722784421c242b,6,5,8063,8063,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-disabled,5e63e0c32fdcc8c56a1f6e80bb1ef1b711ed03ebbe9133d0ed722784421c242b,7,6,12460,12460,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-disabled,5e63e0c32fdcc8c56a1f6e80bb1ef1b711ed03ebbe9133d0ed722784421c242b,8,7,3950,3950,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-enabled,e6c5c75645d16a1c935008a22bd486057651ceacd6803a4f92fd967b78fe5276,1,0,362,362,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-enabled,e6c5c75645d16a1c935008a22bd486057651ceacd6803a4f92fd967b78fe5276,2,1,23560,23560,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-enabled,e6c5c75645d16a1c935008a22bd486057651ceacd6803a4f92fd967b78fe5276,3,2,2530,2530,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-enabled,e6c5c75645d16a1c935008a22bd486057651ceacd6803a4f92fd967b78fe5276,4,3,41171,41171,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-enabled,e6c5c75645d16a1c935008a22bd486057651ceacd6803a4f92fd967b78fe5276,5,4,49435,49435,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-enabled,e6c5c75645d16a1c935008a22bd486057651ceacd6803a4f92fd967b78fe5276,6,5,8063,8063,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-enabled,e6c5c75645d16a1c935008a22bd486057651ceacd6803a4f92fd967b78fe5276,7,6,12460,12460,151935,"[76482, 92040]",,,,
source-a71c6b6ea3064477bcbedfca611bf9fe-enabled,e6c5c75645d16a1c935008a22bd486057651ceacd6803a4f92fd967b78fe5276,8,7,,3950,3,"[3950, 76482, 92040]",,,,
grammar-4bf3cc355bf249518ba8e55b7a8c9482,e918626404a81ec81bdac2a45dfe110973484498c4c833a84a91202dba92b869,1,0,4913,4913,151935,"[76482, 92040]",,,,
grammar-4bf3cc355bf249518ba8e55b7a8c9482,e918626404a81ec81bdac2a45dfe110973484498c4c833a84a91202dba92b869,2,1,957,957,151935,"[76482, 92040]",,,,
grammar-4bf3cc355bf249518ba8e55b7a8c9482,e918626404a81ec81bdac2a45dfe110973484498c4c833a84a91202dba92b869,3,2,3252,3252,151935,"[76482, 92040]",,,,
grammar-4bf3cc355bf249518ba8e55b7a8c9482,e918626404a81ec81bdac2a45dfe110973484498c4c833a84a91202dba92b869,4,3,1958,1958,151935,"[76482, 92040]",,,,
grammar-4bf3cc355bf249518ba8e55b7a8c9482,e918626404a81ec81bdac2a45dfe110973484498c4c833a84a91202dba92b869,5,4,22108,22108,151935,"[76482, 92040]",,,,
grammar-4bf3cc355bf249518ba8e55b7a8c9482,e918626404a81ec81bdac2a45dfe110973484498c4c833a84a91202dba92b869,6,5,,34074,3,"[34074, 76482, 92040]",,,,
grammar-4bf3cc355bf249518ba8e55b7a8c9482,e918626404a81ec81bdac2a45dfe110973484498c4c833a84a91202dba92b869,7,6,,9207,2,"[76482, 92040]",,,,
stream-a45728a656e64074835afd7a509b1f61,490f374a4b2817704569620b430c07e4e0095fb93ab69eab2714ad2d21dce07f,1,0,36813,36813,151935,"[76482, 92040]",,,,
stream-a45728a656e64074835afd7a509b1f61,490f374a4b2817704569620b430c07e4e0095fb93ab69eab2714ad2d21dce07f,2,1,,34074,3,"[34074, 76482, 92040]",,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,1,0,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,2,1,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,3,2,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,4,3,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,5,4,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,6,5,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,7,6,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,8,7,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,9,8,,,0,[],,,,
paired-en-source-101-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,10,9,,,0,[],,,,
