request_id,scheduler_request_id,config_hash,invocation_count,generated_tokens_before_sample,forced_token_id,requested_forced_token_id,mask_count,masked_token_ids
RA-STRUCT-source-disabled,nram-scheduler-9a5730de1b7c42d7a640dce76ecf8e83,5267ee3e5feb83a28ceaa2d2aafa8eb965e404ec236f079dcfe56aa8f38f85da,5,4,16585,16585,151935,[]
RA-STRUCT-source-disabled,nram-scheduler-9a5730de1b7c42d7a640dce76ecf8e83,5267ee3e5feb83a28ceaa2d2aafa8eb965e404ec236f079dcfe56aa8f38f85da,6,5,3395,3395,151935,[]
RA-STRUCT-source-disabled,nram-scheduler-9a5730de1b7c42d7a640dce76ecf8e83,5267ee3e5feb83a28ceaa2d2aafa8eb965e404ec236f079dcfe56aa8f38f85da,7,6,3351,3351,151935,[]
RA-STRUCT-source-disabled,nram-scheduler-9a5730de1b7c42d7a640dce76ecf8e83,5267ee3e5feb83a28ceaa2d2aafa8eb965e404ec236f079dcfe56aa8f38f85da,8,7,4486,4486,151935,[]
RA-STRUCT-source-enabled,nram-scheduler-9c588bf7b7de41238687bd1cc0b59a9c,55335f7ff85170fc2480d1f7ccc63c52ec422ae3ac0b350c07640064c1d1d430,1,0,9702,9702,151935,[]
RA-STRUCT-source-enabled,nram-scheduler-9c588bf7b7de41238687bd1cc0b59a9c,55335f7ff85170fc2480d1f7ccc63c52ec422ae3ac0b350c07640064c1d1d430,2,1,498,498,151935,[]
RA-STRUCT-source-enabled,nram-scheduler-9c588bf7b7de41238687bd1cc0b59a9c,55335f7ff85170fc2480d1f7ccc63c52ec422ae3ac0b350c07640064c1d1d430,3,2,369,369,151935,[]
RA-STRUCT-source-enabled,nram-scheduler-9c588bf7b7de41238687bd1cc0b59a9c,55335f7ff85170fc2480d1f7ccc63c52ec422ae3ac0b350c07640064c1d1d430,4,3,697,697,151935,[]
RA-STRUCT-source-enabled,nram-scheduler-9c588bf7b7de41238687bd1cc0b59a9c,55335f7ff85170fc2480d1f7ccc63c52ec422ae3ac0b350c07640064c1d1d430,5,4,16585,16585,151935,[]
RA-STRUCT-source-enabled,nram-scheduler-9c588bf7b7de41238687bd1cc0b59a9c,55335f7ff85170fc2480d1f7ccc63c52ec422ae3ac0b350c07640064c1d1d430,6,5,3395,3395,151935,[]
RA-STRUCT-source-enabled,nram-scheduler-9c588bf7b7de41238687bd1cc0b59a9c,55335f7ff85170fc2480d1f7ccc63c52ec422ae3ac0b350c07640064c1d1d430,7,6,3351,3351,151935,[]
RA-STRUCT-source-enabled,nram-scheduler-9c588bf7b7de41238687bd1cc0b59a9c,55335f7ff85170fc2480d1f7ccc63c52ec422ae3ac0b350c07640064c1d1d430,8,7,,4486,1,[4486]
RA-ENTROPY-low,nram-scheduler-1cd960d486da41c6ba6b9f0bec58f2a0,14784fddcf8d598ec3f6003daea68c3fe49df2e8eb36dc155900c8456d7bf959,1,0,,,0,[]
RA-ENTROPY-low,nram-scheduler-1cd960d486da41c6ba6b9f0bec58f2a0,14784fddcf8d598ec3f6003daea68c3fe49df2e8eb36dc155900c8456d7bf959,2,1,,,0,[]
RA-ENTROPY-low,nram-scheduler-1cd960d486da41c6ba6b9f0bec58f2a0,14784fddcf8d598ec3f6003daea68c3fe49df2e8eb36dc155900c8456d7bf959,3,2,,,0,[]
RA-ENTROPY-medium,nram-scheduler-34d17c95934c473c80ba5f8494088792,745b0ba01e2c378f8d3f47297666340ea0f791520cbfea3b1f17dfb6169f2b9e,1,0,,,0,[]
RA-ENTROPY-medium,nram-scheduler-34d17c95934c473c80ba5f8494088792,745b0ba01e2c378f8d3f47297666340ea0f791520cbfea3b1f17dfb6169f2b9e,2,1,,,0,[]
RA-ENTROPY-medium,nram-scheduler-34d17c95934c473c80ba5f8494088792,745b0ba01e2c378f8d3f47297666340ea0f791520cbfea3b1f17dfb6169f2b9e,3,2,,,0,[]
