status,prompt_id,language,category,seed,condition,request_id,config_hash,output_sha256,raw_path,latency_ms,output_words,lexical_diversity,exact_source_8gram_overlap,forbidden_frame_count,adjacent_repetition_count
EXECUTED,cs-source,cs,source_transformation,101,structural_only,paired-cs-source-101-structural_only,40f1aae43f8faacf1839b35099881caba9d6f2bb4bd70edbcb2b46e42aea14ef,198a3292d1e7d55ad9a8e18675158fb292c16daff2b6e10a835a5ac1a1ca8f54,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-101-structural_only.json,514.359,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,101,logit_only,paired-cs-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,1323e87fbacda998d6489be103578ed2780257d1eec8f67d929472bf7529e0fa,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-101-logit_only.json,516.153,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,101,full_supported,paired-cs-source-101-full_supported,217df8b3740992fdf262c5d7ec4db88ba9633a66fa75a1555a7e38aba7222fa5,4abeea5086b02dc83e75ae692020e98cddcee49681bf541130b482cf6f7da7aa,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-101-full_supported.json,706.52,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,101,full_minus_structural,paired-cs-source-101-full_minus_structural,f10facff490a1d0f6f9be7adccd9e7164cb0dee82d17d0f57ab4923e5d24bec6,bea778df73bc22c7d0543f65a5e85c55f066fabb66e39c07d598c09d16d2386f,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-101-full_minus_structural.json,782.251,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,101,full_minus_logit,paired-cs-source-101-full_minus_logit,40f1aae43f8faacf1839b35099881caba9d6f2bb4bd70edbcb2b46e42aea14ef,2eace1427822260ca76b128bc585f6bb04ea9230903872f40e8a4d9df5b8c8bd,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-101-full_minus_logit.json,523.503,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,202,vanilla,paired-cs-source-202-vanilla,baseline,1323e87fbacda998d6489be103578ed2780257d1eec8f67d929472bf7529e0fa,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-202-vanilla.json,450.602,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,202,developer_prompt_only,paired-cs-source-202-developer_prompt_only,4155a1f8730d726f4237cffc5e64ceeeef1011182327a96b035402cb74bdacee,bea778df73bc22c7d0543f65a5e85c55f066fabb66e39c07d598c09d16d2386f,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-202-developer_prompt_only.json,522.362,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,202,structural_only,paired-cs-source-202-structural_only,40f1aae43f8faacf1839b35099881caba9d6f2bb4bd70edbcb2b46e42aea14ef,198a3292d1e7d55ad9a8e18675158fb292c16daff2b6e10a835a5ac1a1ca8f54,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-202-structural_only.json,526.886,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,202,logit_only,paired-cs-source-202-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,1323e87fbacda998d6489be103578ed2780257d1eec8f67d929472bf7529e0fa,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-202-logit_only.json,558.373,7,1.0,0,0,0
EXECUTED,cs-source,cs,source_transformation,202,full_supported,paired-cs-source-202-full_supported,217df8b3740992fdf262c5d7ec4db88ba9633a66fa75a1555a7e38aba7222fa5,4abeea5086b02dc83e75ae692020e98cddcee49681bf541130b482cf6f7da7aa,artifacts/nram_v5_verification/builder-20260727T204900Z-7aa1285/raw-generations/paired-cs-source-202-full_supported.json,766.49,7,1.0,0,0,0
